id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-641000000,11716,11,-0.0703866230793227,0.5137418914305221,2.6230221181685884,7.763613839038229,4.269940143989651
contig-642000000,11710,71,-0.0837615854909962,0.6558497011101619,16.194579855873833,-3.8598219375486775,-2.757577192746765
contig-655000000,11429,61,-0.0678357047242,0.510455857905329,2.6762407644556423,4.652328155748437,0.41665683458582436
contig-658000000,46408,32,-0.07990883087700701,0.32796069643165005,-14.23659123842789,2.2883279804931393,-8.642337023096921
contig-663000000,11260,41,-0.0738380881652173,0.36998223801065705,-12.310882912122851,-5.467705154687919,4.638115585390623
contig-665000000,15636,61,-0.0674624829965836,0.524238935789204,3.2311439145751804,4.837811198546856,-0.3910144975848372
contig-666000000,11224,41,-0.07333553472852701,0.37731646471846,-11.313614396615359,-4.861280389754522,4.085874828568078
contig-667000000,11217,11,-0.0742010601227017,0.542391013640011,5.838495600491434,8.610164415294344,2.787362030118728
contig-678000000,11071,32,-0.0811449871283778,0.321831812844368,-14.69134258200598,2.0382046255076984,-10.044431194809885
contig-694000000,11488,11,-0.0707340905102519,0.522545264623955,3.648096651109953,7.912546641024274,3.8065893813205722
contig-70000000,67052,41,-0.0735893778742348,0.379168406609795,-11.949051701358162,-5.1159494741204306,5.30301336805651
contig-700000000,10943,11,-0.0719679000608424,0.5223430503518229,4.154635818800199,6.940530217523819,3.004731327769604
contig-701000000,10706,61,-0.067739710620427,0.510181206799925,2.216198366351825,3.58239136964887,0.6895021382188614
contig-704000000,10623,41,-0.0733602837942747,0.375411842229125,-12.177838690061476,-4.633839838041117,4.646118165706019
contig-71000000,54449,41,-0.0740015094607262,0.374570699186395,-12.045776670075856,-4.746020351996091,4.569856189610821
contig-712000000,10501,11,-0.0728367486042528,0.547947814493858,5.277246418981133,7.502536166354449,2.6935903025174683
